Task,Accuracy
1,95.4
2,90.6
3,84.07
4,79.7
5,79.16
6,78
7,76.57
8,75.15
9,72.98
10,72.42
11,71.67
12,70.18
13,69.23
14,69.09
15,67.75
16,66.12
17,65.05
18,63.96
19,63.13
20,62.77
Average,73.65
Last,62.77
