Task,Accuracy
1,97.8
2,86.3
3,74.67
4,67.65
5,66.32
6,64.47
7,61.26
8,59.22
9,58.4
10,57.24
11,55.56
12,53.1
13,51.51
14,50.96
15,49.84
16,47.7
17,46.51
18,44.78
19,43.47
20,42.73
Average,58.98
Last,42.73
