Number of Classes,Accuracy
5,97.8
10,86.3
15,74.67
20,67.65
25,66.32
30,64.47
35,61.26
40,59.22
45,58.4
50,57.24
55,55.56
60,53.1
65,51.51
70,50.96
75,49.84
80,47.7
85,46.51
90,44.78
95,43.47
100,42.73
