Number of Classes,Accuracy
5,96.4
10,89.5
15,83.0
20,79.95
25,80.8
30,80.63
35,79.77
40,77.53
45,76.84
50,76.12
55,74.38
60,73.22
65,71.48
70,71.19
75,68.77
80,67.47
85,66.12
90,64.57
95,64.54
100,62.99
